title,channel_id,subscribers,views,videos,country,custom_url
Guerrilla Tactics,UCNanlVQ7atnryfq3GGhh64g,768,51723,35,ES,@guerrillatactics3099
Age of Sigmar Lorefan,UCjnDrSc-ChQi3_b_VIy5-Xw,600,62688,212,,@aosrpglorefan6869
Age of Coaching by Dario,UC4Ohe80IKmEVZ_ly2oTbAjw,584,131137,97,DE,@ageofcoachingbydario
The Lair - Live Tabletop,UCvCFLA5sWhMsiclAzHQADeQ,569,43907,160,IT,@thelair40k
Call to Arms,UCghQWZskaJ8pd3llmhuAvWQ,534,35425,68,,@call_toarms
Warhammer Age of Sigmar: Realm War,UCem1ZJfEn5yj_p5kCg84-zA,514,0,0,GB,@warhammerageofsigmarrealmwar
AOS CROWD - Warhammer Age of Sigmar,UCqfLPwXN_9L7sPixVEOi3jA,454,12758,30,GB,@aoscrowd
Buenos Kill Teams BKT,UC5sIOPOE0k-C2vjUnKxg6Sg,445,75207,76,AR,@buenoskillteamsbkt-t1l
Mysidia,UCA2M8CXhAIMI8GZOzCPFXUQ,400,24480,27,CA,@mysidia91
The Kill Team Garage,UCBKwlpl5ZIEaH-s80gtBSmA,352,10118,7,,@thekillteamgarage
"Warhammer 40,000: Kill Team - Topic",UCojt1nGX7wfM9MYCCXhAp8g,338,0,0,,
Questward | Age of Sigmar RPG Podcast,UCx7iuDumHAdViTH3POpCQMQ,327,20803,56,CA,@questwardageofsigmarrpgpod6554
Kill Team Academy,UCDbyh6mzYG8EssCYMoT2hYQ,321,8063,9,CA,@killteamacademy5324
Great Lakes Kill Team,UCufNTIWodizAQTgeo6Tt8VQ,259,13747,59,CA,@greatlakeskillteam
Kill Team: frères et soeurs de bataille,UCRwWeDzF7Ghl0w45okHru1Q,219,8481,15,FR,@killteamfreresetsoeursdebatail
KILLTEAM,UCJIc-USRN9a-UzqRITAiqdw,196,38191,11,,@killteams
South Yorkshire Kill Team,UC5TASZyETUKij4mKD7lUR3g,166,5425,10,,@southyorkshirekillteam
Shorthammer Battle Reports,UCQLj5XGihgw0UBzoF8MTJWg,75,3192,3,,@shorthammer
FuzzyWingMan Kill Team,UCWJ4b4kSmYaHnCV8Oomm94Q,51,10330,108,US,@fuzzywingmangames1899
Once upon A Killteam,UCKkqeNIN9s_0SMQjyElx9Mg,44,3648,9,,@onceuponakillteam
The Sigmarillion - Warhammer Age of Sigmar Lore,UCLXGYLtkvyFy_8j4-SS4lrg,39,698,5,SE,@sigmarillionaos
Beer & Kill Team,UC7M60UObsrSaQBZYhTlvkTQ,24,468,14,,@beerkillteam9405
Team America Age of Sigmar,UCtPx9DwJj3NAFayzs9MaxCg,24,498,3,,@teamamericaageofsigmar5852
Kill Team,UCXUPX7zhGsP5dAvJrsBMezw,15,1617,2,,@killteam9579
Warhammer Painting Tutorials,UCP7vrziBg4Tia8dBOqGMHVg,10,328,1,,@warhammerpaintingtutorials989
Danger Close Battle Reports 40K,UCHI_Cio16JSgmlLDTpxFDGQ,9,739,4,US,@dangerclosebattlereports4097
Warhammer 40k/Age of Sigmar,UC-NyvJ39Rn-aJNrOIrkKr5Q,8,89,3,,@warhammer40kageofsigmar26
Warhammer age of Sigmar,UCnEls4CGRGN6dYyV2fn4YVg,5,78,8,,@goofyarclips2088
Warhammer LORE TO SLEEP TO,UCpmGNtBBSVMZWUBO8efSV8w,5,1320,7,US,@warhammer_lore_to_sleep_to
Kill Team 40k,UCWQfWxDJh1vBy3N3JJtdeoA,4,81,1,,@killteam40k12
Age of Sigmar Lore,UCJ-lttSe9VPRjf0N22ODupA,0,32,2,,@ageofsigmarlore
